ChangeN,ChangeC,PB,Tmax,Tmin,Tave,Crop,WPCT,WPNT,FCT,FNT,RCT,RNT,SCCT,SCNT,IrrigationCT,IrrigationNT,ST,Latitude,Longitude,NTyear
0.049474094,1,-139.0275808,24.7985958,-20.09567556,5.033333451,wheat.winter,1,1,1,1,0,0,3,3,2,2,4,48.28,-105.1,3
0.014137214,1,-329.9733708,29.191865,-21.60286386,5.791666652,wheat.winter,1,1,1,1,0,0,3,3,2,2,4,48.28,-105.1,4
0.143091431,1,-157.9596523,29.48727712,-16.19572498,6.866666685,wheat.winter,1,1,1,1,0,0,3,3,2,2,4,48.28,-105.1,5
-0.02063228,0,-34.78688273,35.3316296,14.98488395,26.15999985,soybean,1,1,1,1,1,1,0,1,2,2,4,32.42,-93.64,3
-0.128020901,0,-36.3026141,34.27268933,13.00351149,24.96000023,soybean,1,1,1,1,1,1,0,1,2,2,4,32.42,-93.64,4
-0.727272727,0,-282.5243722,24.36139526,7.814775085,20.41428539,wheat.winter,1,1,1,1,0,0,0,0,2,2,8,9.07,38.48,1
-0.739393939,0,-282.5243722,24.36139526,7.814775085,20.41428539,wheat.winter,1,1,1,1,0,0,0,1,2,2,8,9.07,38.48,1
-0.690544413,0,-282.5243722,24.36139526,7.814775085,20.41428539,wheat.winter,1,1,1,1,0,0,0,1,2,2,8,9.07,38.48,1
-0.069767442,0,-237.0203173,26.41964111,7.691134053,20.77142879,wheat.winter,1,1,1,1,0,0,0,0,2,2,8,9.07,38.48,2
-0.134328358,0,-237.0203173,26.41964111,7.691134053,20.77142879,wheat.winter,1,1,1,1,0,0,0,1,2,2,8,9.07,38.48,2
-0.01459854,0,-237.0203173,26.41964111,7.691134053,20.77142879,wheat.winter,1,1,1,1,0,0,0,1,2,2,8,9.07,38.48,2
0.04494382,1,-433.2535346,25.72281376,8.062413862,20.71428571,wheat.winter,1,1,1,1,0,0,0,0,2,2,8,9.07,38.48,3
0.054945055,1,-433.2535346,25.72281376,8.062413862,20.71428571,wheat.winter,1,1,1,1,0,0,0,1,2,2,8,9.07,38.48,3
0.090909091,1,-433.2535346,25.72281376,8.062413862,20.71428571,wheat.winter,1,1,1,1,0,0,0,1,2,2,8,9.07,38.48,3
-0.065882353,0,677.3244419,26.04460882,7.751035629,18.54999995,rice,2,2,3,3,0,0,0,1,2,2,8,28.6,112.6,32
0.100840336,1,-129.3375457,29.37540165,-2.516162011,15.20000001,soybean,1,1,0,0,0,0,0,1,2,2,4,47.46,-99.12,2
-0.06884058,0,-129.3375457,29.37540165,-2.516162011,15.20000001,soybean,1,1,0,0,0,0,0,1,2,2,4,47.46,-99.12,2
-0.086956522,0,-129.3375457,29.37540165,-2.516162011,15.20000001,soybean,1,1,0,0,0,0,0,1,2,2,4,47.46,-99.12,2
-0.085114178,0,937.0186694,32.45272624,26.20539511,28.69999933,maize,2,2,1,1,1,1,3,3,1,1,4,24.38,90.13,1
-0.084472196,0,515.926414,34.45892741,26.81484375,29.47500038,maize,2,2,1,1,1,1,0,1,1,1,4,24.38,90.13,2
